LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01029072,"347,789.64","136,980.00",28,0,0
E01029073,"348,389.84","136,322.90",31,0,0
E01029074,"348,524.32","135,648.71",41,0,0
E01029075,"347,931.44","136,009.38",32,0,0
E01029076,"347,752.64","135,615.03",39,0,0
E01029077,"357,126.07","131,604.32",28,0,0
E01029085,"343,188.53","154,529.71",58,0,0
E01029086,"340,160.17","152,862.99",115,0,0
E01029089,"334,888.04","153,834.53",76,0,0
E01029126,"346,130.53","153,719.19",53,0,0
E01029127,"345,818.76","153,304.40",58,0,0
E01029128,"344,935.21","156,500.91",90,0,0
E01029129,"345,610.43","153,177.82",56,0,0
E01029130,"345,028.00","135,120.00",1,0,0
E01029140,"332,242.00","153,625.00",1,0,0
E01029147,"343,509.27","146,868.74",99,0,0
E01029148,"342,973.18","148,657.77",74,0,0
E01029149,"339,528.00","147,661.00",2,0,0
E01029153,"328,897.76","111,695.51",169,0,0
E01029154,"370,970.00","118,027.00",1,0,0
E01029155,"364,809.91","125,905.18",11,0,0
E01029157,"368,418.70","134,904.11",56,0,0
E01029158,"368,043.34","134,746.38",56,0,0
E01029159,"352,520.29","116,242.50",28,0,0
E01029160,"352,828.33","117,061.48",42,0,0
E01029161,"353,658.70","117,185.81",27,0,0
E01029162,"353,354.27","116,705.43",30,0,0
E01029163,"341,195.85","119,877.26",78,0,0
E01029164,"359,975.67","125,409.14",64,0,0
E01029165,"358,929.56","123,160.86",64,0,0
E01029166,"362,027.49","128,164.20",93,0,0
E01029169,"333,443.61","109,335.32",31,0,0
E01029170,"333,021.70","109,005.65",20,0,0
